Player,Rank,Sets_Won,Games_Won,Aces,DoubleFaults,FirstServes_Won,FirstServes_In,SecondServes_Won,SecondServes_In,BreakPoints_Won,BreakPoints,ReturnPoints_Won,ReturnPoints_Faced,TotalPoints_Won,won_game?,FirstServes_ratio,SecondServes_ratio,BreakPoints_ratio,ReturnPoints_ratio,datetime,year,Tournament,Round_Description,Court_Surface,Total_Serves,Aces%,ServesWon%
Mikhail Kukushkin,66.0,2.0,14,3.0,1.0,37.0,49.0,23.0,29.0,0.0,0.0,17.0,72.0,77,1,0.7551020408163265,0.7931034482758621,0.0,0.2361111111111111,2015-01-12,2015,Sydney,Quarter-finals,Hard,78.0,0.038461538461538464,0.7692307692307693
Leonardo Mayer,28.0,2.0,13,12.0,3.0,41.0,49.0,12.0,22.0,1.0,1.0,20.0,62.0,73,1,0.8367346938775511,0.5454545454545454,1.0,0.3225806451612903,2015-01-12,2015,Sydney,Quarter-finals,Hard,71.0,0.16901408450704225,0.7464788732394366
Viktor Troicki,92.0,2.0,16,16.0,0.0,47.0,55.0,13.0,27.0,3.0,14.0,46.0,118.0,106,1,0.8545454545454545,0.48148148148148145,0.21428571428571427,0.3898305084745763,2015-01-12,2015,Sydney,Quarter-finals,Hard,82.0,0.1951219512195122,0.7317073170731707
Viktor Troicki,92.0,2.0,12,13.0,1.0,27.0,33.0,11.0,19.0,3.0,7.0,19.0,51.0,57,1,0.8181818181818182,0.5789473684210527,0.42857142857142855,0.37254901960784315,2015-01-12,2015,Sydney,Semi-finals,Hard,52.0,0.25,0.7307692307692307
Mikhail Kukushkin,66.0,2.0,12,4.0,2.0,27.0,32.0,23.0,43.0,2.0,6.0,27.0,71.0,77,1,0.84375,0.5348837209302325,0.3333333333333333,0.38028169014084506,2015-01-12,2015,Sydney,Semi-finals,Hard,75.0,0.05333333333333334,0.6666666666666666
Viktor Troicki,92.0,2.0,12,13.0,2.0,27.0,31.0,7.0,15.0,4.0,5.0,26.0,51.0,60,1,0.8709677419354839,0.4666666666666667,0.8,0.5098039215686274,2015-01-12,2015,Sydney,Finals,Hard,46.0,0.2826086956521739,0.7391304347826086
Michael Venus,426.0,2.0,18,18.0,5.0,43.0,52.0,32.0,58.0,3.0,5.0,29.0,94.0,104,1,0.8269230769230769,0.5517241379310345,0.6,0.30851063829787234,2015-01-12,2015,Auckland,First Round,Hard,110.0,0.16363636363636364,0.6818181818181818
Pablo Carreno Busta,49.0,2.0,12,7.0,2.0,27.0,32.0,12.0,20.0,3.0,6.0,22.0,58.0,61,1,0.84375,0.6,0.5,0.3793103448275862,2015-01-12,2015,Auckland,First Round,Hard,52.0,0.1346153846153846,0.75
Jan-Lennard Struff,54.0,2.0,18,14.0,1.0,50.0,63.0,18.0,32.0,4.0,7.0,35.0,102.0,103,1,0.7936507936507936,0.5625,0.5714285714285714,0.3431372549019608,2015-01-12,2015,Auckland,First Round,Hard,95.0,0.14736842105263157,0.7157894736842105
Adrian Mannarino,44.0,2.0,12,3.0,1.0,17.0,23.0,8.0,14.0,6.0,9.0,27.0,40.0,52,1,0.7391304347826086,0.5714285714285714,0.6666666666666666,0.675,2015-01-12,2015,Auckland,First Round,Hard,37.0,0.08108108108108109,0.6756756756756757
Donald Young,56.0,2.0,18,9.0,2.0,40.0,48.0,19.0,31.0,4.0,12.0,30.0,86.0,89,1,0.8333333333333334,0.6129032258064516,0.3333333333333333,0.3488372093023256,2015-01-12,2015,Auckland,First Round,Hard,79.0,0.11392405063291139,0.7468354430379747
Diego Schwartzman,58.0,2.0,16,3.0,4.0,24.0,38.0,12.0,27.0,9.0,16.0,48.0,82.0,84,1,0.631578947368421,0.4444444444444444,0.5625,0.5853658536585366,2015-01-12,2015,Auckland,First Round,Hard,65.0,0.046153846153846156,0.5538461538461539
Steve Johnson,39.0,2.0,13,7.0,2.0,27.0,35.0,17.0,29.0,3.0,7.0,36.0,85.0,80,1,0.7714285714285715,0.5862068965517241,0.42857142857142855,0.4235294117647059,2015-01-12,2015,Auckland,First Round,Hard,64.0,0.109375,0.6875
Alejandro Falla,112.0,2.0,12,2.0,1.0,27.0,36.0,9.0,22.0,4.0,7.0,25.0,57.0,61,1,0.75,0.4090909090909091,0.5714285714285714,0.43859649122807015,2015-01-12,2015,Auckland,First Round,Hard,58.0,0.034482758620689655,0.6206896551724138
Yen-Hsun Lu,46.0,2.0,14,2.0,1.0,32.0,47.0,17.0,35.0,5.0,11.0,36.0,80.0,85,1,0.6808510638297872,0.4857142857142857,0.45454545454545453,0.45,2015-01-12,2015,Auckland,First Round,Hard,82.0,0.024390243902439025,0.5975609756097561
Albert Ramos-Vinolas,61.0,2.0,12,2.0,0.0,26.0,34.0,14.0,21.0,3.0,4.0,20.0,55.0,60,1,0.7647058823529411,0.6666666666666666,0.75,0.36363636363636365,2015-01-12,2015,Auckland,First Round,Hard,55.0,0.03636363636363636,0.7272727272727273
Kenny De Schepper,101.0,2.0,12,4.0,0.0,28.0,46.0,12.0,18.0,4.0,10.0,30.0,59.0,70,1,0.6086956521739131,0.6666666666666666,0.4,0.5084745762711864,2015-01-12,2015,Auckland,First Round,Hard,64.0,0.0625,0.625
Jiri Vesely,63.0,2.0,13,10.0,2.0,37.0,43.0,17.0,28.0,1.0,2.0,19.0,62.0,73,1,0.8604651162790697,0.6071428571428571,0.5,0.3064516129032258,2015-01-12,2015,Auckland,First Round,Hard,71.0,0.14084507042253522,0.7605633802816901
Donald Young,56.0,2.0,14,9.0,4.0,30.0,45.0,20.0,31.0,3.0,4.0,28.0,73.0,78,1,0.6666666666666666,0.6451612903225806,0.75,0.3835616438356164,2015-01-12,2015,Auckland,Second Round,Hard,76.0,0.11842105263157894,0.6578947368421053
Jiri Vesely,63.0,2.0,15,3.0,1.0,26.0,32.0,21.0,29.0,4.0,7.0,29.0,71.0,76,1,0.8125,0.7241379310344828,0.5714285714285714,0.4084507042253521,2015-01-12,2015,Auckland,Second Round,Hard,61.0,0.04918032786885246,0.7704918032786885
Kevin Anderson,16.0,2.0,13,8.0,3.0,36.0,49.0,14.0,24.0,3.0,6.0,26.0,63.0,76,1,0.7346938775510204,0.5833333333333334,0.5,0.4126984126984127,2015-01-12,2015,Auckland,Second Round,Hard,73.0,0.1095890410958904,0.684931506849315
Alejandro Falla,112.0,2.0,12,3.0,2.0,28.0,41.0,12.0,19.0,3.0,6.0,23.0,53.0,63,1,0.6829268292682927,0.631578947368421,0.5,0.4339622641509434,2015-01-12,2015,Auckland,Second Round,Hard,60.0,0.05,0.6666666666666666
Lucas Pouille,136.0,2.0,13,16.0,1.0,34.0,42.0,15.0,26.0,2.0,4.0,19.0,62.0,68,1,0.8095238095238095,0.5769230769230769,0.5,0.3064516129032258,2015-01-12,2015,Auckland,Second Round,Hard,68.0,0.23529411764705882,0.7205882352941176
Steve Johnson,39.0,2.0,18,15.0,1.0,45.0,57.0,23.0,36.0,4.0,10.0,38.0,98.0,106,1,0.7894736842105263,0.6388888888888888,0.4,0.3877551020408163,2015-01-12,2015,Auckland,Second Round,Hard,93.0,0.16129032258064516,0.7311827956989247
Adrian Mannarino,44.0,2.0,8,2.0,0.0,9.0,10.0,11.0,14.0,3.0,6.0,18.0,35.0,38,1,0.9,0.7857142857142857,0.5,0.5142857142857142,2015-01-12,2015,Auckland,Second Round,Hard,24.0,0.08333333333333333,0.8333333333333334
Albert Ramos-Vinolas,61.0,2.0,12,5.0,2.0,31.0,44.0,12.0,20.0,3.0,7.0,23.0,59.0,66,1,0.7045454545454546,0.6,0.42857142857142855,0.3898305084745763,2015-01-12,2015,Auckland,Second Round,Hard,64.0,0.078125,0.671875
Lucas Pouille,136.0,2.0,12,5.0,0.0,25.0,35.0,15.0,20.0,3.0,4.0,20.0,44.0,60,1,0.7142857142857143,0.75,0.75,0.45454545454545453,2015-01-12,2015,Auckland,Quarter-finals,Hard,55.0,0.09090909090909091,0.7272727272727273
Adrian Mannarino,44.0,2.0,12,4.0,5.0,21.0,26.0,9.0,18.0,5.0,10.0,25.0,43.0,55,1,0.8076923076923077,0.5,0.5,0.5813953488372093,2015-01-12,2015,Auckland,Quarter-finals,Hard,44.0,0.09090909090909091,0.6818181818181818
Jiri Vesely,63.0,2.0,12,9.0,1.0,25.0,31.0,9.0,13.0,4.0,9.0,25.0,54.0,59,1,0.8064516129032258,0.6923076923076923,0.4444444444444444,0.46296296296296297,2015-01-12,2015,Auckland,Quarter-finals,Hard,44.0,0.20454545454545456,0.7727272727272727
Kevin Anderson,16.0,2.0,13,14.0,2.0,34.0,38.0,15.0,23.0,2.0,9.0,32.0,90.0,81,1,0.8947368421052632,0.6521739130434783,0.2222222222222222,0.35555555555555557,2015-01-12,2015,Auckland,Quarter-finals,Hard,61.0,0.22950819672131148,0.8032786885245902
Jiri Vesely,63.0,2.0,13,12.0,2.0,36.0,43.0,11.0,17.0,2.0,2.0,21.0,66.0,68,1,0.8372093023255814,0.6470588235294118,1.0,0.3181818181818182,2015-01-12,2015,Auckland,Semi-finals,Hard,60.0,0.2,0.7833333333333333
Adrian Mannarino,44.0,2.0,16,5.0,3.0,39.0,50.0,18.0,32.0,3.0,4.0,32.0,90.0,89,1,0.78,0.5625,0.75,0.35555555555555557,2015-01-12,2015,Auckland,Semi-finals,Hard,82.0,0.06097560975609756,0.6951219512195121
Jiri Vesely,63.0,2.0,12,11.0,2.0,24.0,31.0,10.0,17.0,4.0,7.0,24.0,48.0,58,1,0.7741935483870968,0.5882352941176471,0.5714285714285714,0.5,2015-01-12,2015,Auckland,Finals,Hard,48.0,0.22916666666666666,0.7083333333333334
Andreas Beck,113.0,2.0,12,1.0,2.0,23.0,32.0,12.0,20.0,4.0,7.0,26.0,55.0,61,1,0.71875,0.6,0.5714285714285714,0.4727272727272727,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,52.0,0.019230769230769232,0.6730769230769231
John-Patrick Smith,198.0,2.0,13,11.0,3.0,32.0,42.0,16.0,34.0,3.0,5.0,25.0,68.0,73,1,0.7619047619047619,0.47058823529411764,0.6,0.36764705882352944,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,76.0,0.14473684210526316,0.631578947368421
Adam Pavlasek,240.0,2.0,13,5.0,1.0,28.0,37.0,15.0,25.0,3.0,7.0,,,71,1,0.7567567567567568,0.6,0.42857142857142855,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,62.0,0.08064516129032258,0.6935483870967742
Marco Cecchinato,159.0,2.0,12,6.0,2.0,33.0,42.0,11.0,23.0,3.0,8.0,,,66,1,0.7857142857142857,0.4782608695652174,0.375,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,65.0,0.09230769230769231,0.676923076923077
Daniel Munoz de la Nava,206.0,2.0,14,10.0,1.0,48.0,57.0,16.0,34.0,1.0,4.0,,,88,1,0.8421052631578947,0.47058823529411764,0.25,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,91.0,0.10989010989010989,0.7032967032967034
Blake Mott,583.0,2.0,13,2.0,2.0,27.0,38.0,12.0,23.0,4.0,14.0,43.0,95.0,82,1,0.7105263157894737,0.5217391304347826,0.2857142857142857,0.45263157894736844,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,61.0,0.03278688524590164,0.639344262295082
Tomislav Brkic,246.0,2.0,13,5.0,5.0,29.0,35.0,13.0,22.0,3.0,9.0,,,69,1,0.8285714285714286,0.5909090909090909,0.3333333333333333,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,57.0,0.08771929824561403,0.7368421052631579
Illya Marchenko,144.0,2.0,13,6.0,0.0,39.0,50.0,14.0,24.0,1.0,1.0,19.0,64.0,72,1,0.78,0.5833333333333334,1.0,0.296875,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,74.0,0.08108108108108109,0.7162162162162162
Elias Ymer,212.0,2.0,12,5.0,0.0,27.0,40.0,11.0,20.0,5.0,7.0,,,67,1,0.675,0.55,0.7142857142857143,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,60.0,0.08333333333333333,0.6333333333333333
Ruben Bemelmans,173.0,2.0,12,8.0,2.0,23.0,27.0,14.0,24.0,3.0,4.0,,,61,1,0.8518518518518519,0.5833333333333334,0.75,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,51.0,0.1568627450980392,0.7254901960784313
Dane Propoggia,327.0,2.0,12,3.0,1.0,28.0,46.0,15.0,22.0,3.0,11.0,21.0,58.0,64,1,0.6086956521739131,0.6818181818181818,0.2727272727272727,0.3620689655172414,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,68.0,0.04411764705882353,0.6323529411764706
Lukasz Kubot,162.0,2.0,13,14.0,6.0,38.0,52.0,13.0,30.0,3.0,10.0,,,87,1,0.7307692307692307,0.43333333333333335,0.3,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,82.0,0.17073170731707318,0.6219512195121951
Michael Russell,156.0,2.0,12,2.0,0.0,19.0,30.0,13.0,20.0,5.0,12.0,,,66,1,0.6333333333333333,0.65,0.4166666666666667,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,50.0,0.04,0.64
Bradley Klahn,150.0,2.0,12,3.0,2.0,36.0,50.0,9.0,19.0,3.0,5.0,,,67,1,0.72,0.47368421052631576,0.6,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,69.0,0.043478260869565216,0.6521739130434783
Yuki Bhambri,317.0,2.0,18,5.0,4.0,47.0,60.0,19.0,33.0,4.0,11.0,44.0,108.0,110,1,0.7833333333333333,0.5757575757575758,0.36363636363636365,0.4074074074074074,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,93.0,0.053763440860215055,0.7096774193548387
Tim Puetz,183.0,2.0,13,8.0,2.0,25.0,35.0,17.0,29.0,4.0,12.0,,,81,1,0.7142857142857143,0.5862068965517241,0.3333333333333333,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,64.0,0.125,0.65625
Liam Broady,193.0,2.0,12,2.0,1.0,30.0,42.0,9.0,15.0,2.0,5.0,,,60,1,0.7142857142857143,0.6,0.4,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,57.0,0.03508771929824561,0.6842105263157895
Alex Kuznetsov,184.0,2.0,15,10.0,1.0,43.0,52.0,13.0,29.0,3.0,6.0,30.0,85.0,86,1,0.8269230769230769,0.4482758620689655,0.5,0.35294117647058826,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,81.0,0.12345679012345678,0.691358024691358
Peter Torebko,242.0,2.0,14,1.0,5.0,36.0,51.0,18.0,41.0,4.0,13.0,,,102,1,0.7058823529411765,0.43902439024390244,0.3076923076923077,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,92.0,0.010869565217391304,0.5869565217391305
Maxime Authom,197.0,2.0,12,3.0,2.0,21.0,23.0,11.0,15.0,4.0,6.0,22.0,52.0,54,1,0.9130434782608695,0.7333333333333333,0.6666666666666666,0.4230769230769231,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,38.0,0.07894736842105263,0.8421052631578947
Jozef Kovalik,203.0,2.0,12,6.0,6.0,28.0,33.0,20.0,39.0,2.0,4.0,,,69,1,0.8484848484848485,0.5128205128205128,0.5,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,72.0,0.08333333333333333,0.6666666666666666
Yoshihito Nishioka,165.0,2.0,12,8.0,1.0,22.0,27.0,8.0,12.0,5.0,12.0,25.0,42.0,55,1,0.8148148148148148,0.6666666666666666,0.4166666666666667,0.5952380952380952,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,39.0,0.20512820512820512,0.7692307692307693
Aljaz Bedene,116.0,2.0,17,5.0,0.0,31.0,46.0,29.0,44.0,4.0,8.0,43.0,102.0,103,1,0.6739130434782609,0.6590909090909091,0.5,0.4215686274509804,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,90.0,0.05555555555555555,0.6666666666666666
Jan Mertl,213.0,2.0,19,14.0,3.0,52.0,64.0,15.0,32.0,4.0,11.0,,,113,1,0.8125,0.46875,0.36363636363636365,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,96.0,0.14583333333333334,0.6979166666666666
Marton Fucsovics,158.0,2.0,12,2.0,,29.0,33.0,12.0,15.0,2.0,4.0,,,64,1,0.8787878787878788,0.8,0.5,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,48.0,0.041666666666666664,0.8541666666666666
Aleksandr Nedovyesov,128.0,2.0,12,4.0,0.0,23.0,28.0,6.0,11.0,5.0,6.0,,,54,1,0.8214285714285714,0.5454545454545454,0.8333333333333334,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,39.0,0.10256410256410256,0.7435897435897436
Marius Copil,194.0,2.0,13,12.0,1.0,29.0,34.0,15.0,30.0,3.0,9.0,,,73,1,0.8529411764705882,0.5,0.3333333333333333,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,64.0,0.1875,0.6875
Laurent Lokoli,259.0,2.0,13,5.0,1.0,34.0,43.0,18.0,27.0,1.0,4.0,,,77,1,0.7906976744186046,0.6666666666666666,0.25,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,70.0,0.07142857142857142,0.7428571428571429
Steve Darcis,133.0,2.0,13,5.0,2.0,28.0,40.0,10.0,20.0,5.0,9.0,,,66,1,0.7,0.5,0.5555555555555556,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,60.0,0.08333333333333333,0.6333333333333333
Andrew Harris,499.0,2.0,13,4.0,3.0,30.0,47.0,19.0,27.0,3.0,7.0,32.0,76.0,81,1,0.6382978723404256,0.7037037037037037,0.42857142857142855,0.42105263157894735,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,74.0,0.05405405405405406,0.6621621621621622
Andrea Arnaboldi,178.0,2.0,13,1.0,1.0,29.0,37.0,20.0,26.0,2.0,8.0,42.0,92.0,91,1,0.7837837837837838,0.7692307692307693,0.25,0.45652173913043476,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,63.0,0.015873015873015872,0.7777777777777778
Marc Polmans,100.0,2.0,13,1.0,0.0,24.0,32.0,12.0,20.0,5.0,11.0,37.0,80.0,73,1,0.75,0.6,0.45454545454545453,0.4625,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,52.0,0.019230769230769232,0.6923076923076923
Michal Przysiezny,170.0,2.0,19,6.0,6.0,59.0,81.0,25.0,47.0,3.0,6.0,,,111,1,0.7283950617283951,0.5319148936170213,0.5,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,128.0,0.046875,0.65625
Tim Smyczek,112.0,2.0,14,4.0,1.0,41.0,59.0,16.0,25.0,3.0,13.0,,,91,1,0.6949152542372882,0.64,0.23076923076923078,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,84.0,0.047619047619047616,0.6785714285714286
Vincent Millot,152.0,2.0,12,1.0,0.0,29.0,39.0,5.0,10.0,5.0,9.0,21.0,35.0,55,1,0.7435897435897436,0.5,0.5555555555555556,0.6,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,49.0,0.02040816326530612,0.6938775510204082
Philipp Petzschner,421.0,2.0,12,1.0,2.0,27.0,34.0,10.0,18.0,2.0,4.0,,,59,1,0.7941176470588235,0.5555555555555556,0.5,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,52.0,0.019230769230769232,0.7115384615384616
Omar Jasika,571.0,2.0,13,3.0,3.0,32.0,40.0,13.0,33.0,5.0,9.0,38.0,79.0,83,1,0.8,0.3939393939393939,0.5555555555555556,0.4810126582278481,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,73.0,0.0410958904109589,0.6164383561643836
Axel Michon,214.0,2.0,13,5.0,0.0,34.0,43.0,11.0,21.0,3.0,9.0,30.0,75.0,75,1,0.7906976744186046,0.5238095238095238,0.3333333333333333,0.4,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,64.0,0.078125,0.703125
Jimmy Wang,118.0,2.0,16,3.0,1.0,33.0,55.0,17.0,24.0,5.0,11.0,43.0,97.0,93,1,0.6,0.7083333333333334,0.45454545454545453,0.44329896907216493,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,79.0,0.0379746835443038,0.6329113924050633
Matthias Bachinger,142.0,2.0,17,8.0,3.0,38.0,53.0,27.0,47.0,3.0,10.0,44.0,110.0,109,1,0.7169811320754716,0.574468085106383,0.3,0.4,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,100.0,0.08,0.65
Damir Dzumhur,105.0,2.0,18,4.0,3.0,54.0,83.0,11.0,23.0,5.0,9.0,,,103,1,0.6506024096385542,0.4782608695652174,0.5555555555555556,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,106.0,0.03773584905660377,0.6132075471698113
Jurgen Melzer,108.0,2.0,12,1.0,0.0,27.0,37.0,11.0,18.0,3.0,5.0,23.0,55.0,61,1,0.7297297297297297,0.6111111111111112,0.6,0.41818181818181815,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,55.0,0.01818181818181818,0.6909090909090909
Jan Hernych,201.0,2.0,13,3.0,5.0,29.0,39.0,13.0,27.0,5.0,8.0,31.0,64.0,73,1,0.7435897435897436,0.48148148148148145,0.625,0.484375,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,66.0,0.045454545454545456,0.6363636363636364
Radu Albot,172.0,2.0,12,3.0,0.0,32.0,48.0,9.0,15.0,4.0,4.0,,,64,1,0.6666666666666666,0.6,1.0,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,63.0,0.047619047619047616,0.6507936507936508
Mate Delic,153.0,2.0,18,14.0,5.0,58.0,84.0,26.0,44.0,1.0,7.0,,,119,1,0.6904761904761905,0.5909090909090909,0.14285714285714285,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,128.0,0.109375,0.65625
James McGee,224.0,2.0,13,5.0,4.0,31.0,43.0,16.0,29.0,3.0,5.0,,,75,1,0.7209302325581395,0.5517241379310345,0.6,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,72.0,0.06944444444444445,0.6527777777777778
Luca Vanni,148.0,2.0,13,17.0,1.0,42.0,50.0,12.0,27.0,2.0,5.0,,,74,1,0.84,0.4444444444444444,0.4,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,77.0,0.22077922077922077,0.7012987012987013
Hyeon Chung,169.0,2.0,12,2.0,2.0,27.0,34.0,6.0,12.0,5.0,9.0,32.0,60.0,65,1,0.7941176470588235,0.5,0.5555555555555556,0.5333333333333333,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,46.0,0.043478260869565216,0.717391304347826
Jarmere Jenkins,191.0,2.0,16,2.0,2.0,44.0,61.0,21.0,31.0,2.0,8.0,,,96,1,0.7213114754098361,0.6774193548387096,0.25,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,92.0,0.021739130434782608,0.7065217391304348
Nils Langer,254.0,2.0,17,4.0,6.0,39.0,49.0,24.0,41.0,3.0,7.0,,,99,1,0.7959183673469388,0.5853658536585366,0.42857142857142855,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,90.0,0.044444444444444446,0.7
Alexander Kudryavtsev,127.0,2.0,13,11.0,1.0,27.0,29.0,11.0,20.0,4.0,9.0,,,67,1,0.9310344827586207,0.55,0.4444444444444444,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,49.0,0.22448979591836735,0.7755102040816326
Hiroki Moriya,146.0,2.0,16,3.0,4.0,31.0,43.0,17.0,39.0,6.0,8.0,38.0,82.0,86,1,0.7209302325581395,0.4358974358974359,0.75,0.4634146341463415,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,82.0,0.036585365853658534,0.5853658536585366
Chase Buchanan,179.0,2.0,14,0.0,4.0,39.0,56.0,16.0,31.0,2.0,7.0,,,89,1,0.6964285714285714,0.5161290322580645,0.2857142857142857,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,87.0,0.0,0.632183908045977
Wayne Odesnik,167.0,2.0,13,1.0,1.0,35.0,46.0,9.0,17.0,2.0,5.0,25.0,67.0,69,1,0.7608695652173914,0.5294117647058824,0.4,0.373134328358209,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,63.0,0.015873015873015872,0.6984126984126984
Austin Krajicek,155.0,2.0,15,6.0,6.0,41.0,53.0,16.0,36.0,3.0,14.0,42.0,105.0,99,1,0.7735849056603774,0.4444444444444444,0.21428571428571427,0.4,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,89.0,0.06741573033707865,0.6404494382022472
Adrian Menendez-Maceiras,131.0,2.0,19,7.0,1.0,51.0,68.0,22.0,35.0,2.0,10.0,,,108,1,0.75,0.6285714285714286,0.2,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,103.0,0.06796116504854369,0.7087378640776699
Michael Berrer,122.0,2.0,12,8.0,,28.0,34.0,15.0,23.0,2.0,4.0,21.0,57.0,64,1,0.8235294117647058,0.6521739130434783,0.5,0.3684210526315789,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,57.0,0.14035087719298245,0.7543859649122807
Yuichi Sugita,136.0,2.0,15,2.0,0.0,38.0,49.0,17.0,36.0,3.0,5.0,28.0,78.0,83,1,0.7755102040816326,0.4722222222222222,0.6,0.358974358974359,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,85.0,0.023529411764705882,0.6470588235294118
Konstantin Kravchuk,207.0,2.0,18,14.0,1.0,47.0,70.0,16.0,29.0,5.0,10.0,,,109,1,0.6714285714285714,0.5517241379310345,0.5,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,99.0,0.1414141414141414,0.6363636363636364
Thiemo de Bakker,138.0,2.0,14,8.0,2.0,36.0,52.0,18.0,35.0,4.0,7.0,,,91,1,0.6923076923076923,0.5142857142857142,0.5714285714285714,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,87.0,0.09195402298850575,0.6206896551724138
Kyle Edmund,192.0,2.0,12,8.0,4.0,22.0,28.0,10.0,17.0,4.0,9.0,,,68,1,0.7857142857142857,0.5882352941176471,0.4444444444444444,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,45.0,0.17777777777777778,0.7111111111111111
Enzo Couacaud,239.0,2.0,16,7.0,4.0,31.0,43.0,19.0,40.0,4.0,12.0,,,90,1,0.7209302325581395,0.475,0.3333333333333333,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,83.0,0.08433734939759036,0.6024096385542169
Gerald Melzer,161.0,2.0,18,6.0,5.0,56.0,83.0,21.0,40.0,3.0,10.0,39.0,107.0,116,1,0.6746987951807228,0.525,0.3,0.3644859813084112,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,123.0,0.04878048780487805,0.6260162601626016
Jan Hernych,201.0,2.0,16,6.0,4.0,55.0,70.0,36.0,64.0,5.0,18.0,,,160,1,0.7857142857142857,0.5625,0.2777777777777778,,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,134.0,0.04477611940298507,0.6791044776119403
Andrea Arnaboldi,178.0,2.0,13,12.0,3.0,40.0,55.0,18.0,31.0,3.0,13.0,38.0,96.0,96,1,0.7272727272727273,0.5806451612903226,0.23076923076923078,0.3958333333333333,2015-01-19,2015,"Australian Open, Melbourne",Qualifying,Hard,86.0,0.13953488372093023,0.6744186046511628
